TSA_dia,Carga_Alcalina,Kappa,DB_SGF,DB_LAB,Secura_pct,Casca_pct,Extrativo_Total,Extrativo_AT,Extrativo_SGF,TPC,Idade,vmi_le_021,vmi_021_025,vmi_gt_025,pct_AB,pct_C,pct_DMG
3289.144288437501,20.99695537371833,17.52320995388845,502.0876411590035,488.5830078125,65.44999694824219,0.8317350149154663,4.460000038146973,2.680000066757202,4.75896676991863,60.8406266545807,8.124521030877705,0,0,1,0.1672778420279436,0.3517456943706436,0.4809764636014128
3250.0,20.92812075578846,17.0098152126745,502.0876411590035,488.5830078125,65.44999694824219,0.8317350149154663,4.460000038146973,2.680000066757202,4.75896676991863,60.8406266545807,8.124521030877705,0,0,1,0.1672778420279436,0.3517456943706436,0.4809764636014128
3250.0,21.09919281364343,17.26595831092709,499.3130642762093,488.5830078125,65.44999694824219,0.8317350149154663,4.460000038146973,2.680000066757202,4.842366149147756,65.0628377991212,8.868765306288498,0,0,1,0.20402021450406696,0.21157503806266,0.5844047474332731
3250.0,21.81683238661631,17.41630296364225,499.3130642762093,486.0669860839844,65.91500091552734,0.5388240218162537,4.730000019073486,2.900000095367432,4.842366149147756,65.0628377991212,8.868765306288498,0,0,1,0.20402021450406696,0.21157503806266,0.5844047474332731
3225.549298038195,21.8832780853533,16.94379230709455,509.7685479281956,486.0669860839844,65.91500091552734,0.5388240218162537,4.730000019073486,2.900000095367432,4.685623142205666,59.47012068792412,8.934407991257675,0,0,1,0.2348246821126735,0.1456862999864163,0.61948901790091
3200.0,21.70924845865889,16.27875791142685,509.7685479281956,486.0669860839844,65.91500091552734,0.5388240218162537,4.730000019073486,2.900000095367432,4.685623142205666,59.47012068792412,8.934407991257675,0,0,1,0.2348246821126735,0.1456862999864163,0.61948901790091
3200.0,21.95390798993265,16.16472663631539,509.7685479281956,480.7909851074219,63.79333368937174,0.8918889760971069,4.179999828338623,2.420000076293945,4.685623142205666,59.47012068792412,8.934407991257675,0,0,1,0.2348246821126735,0.1456862999864163,0.61948901790091
3200.0,21.75996496914912,16.02846781240534,501.2525770218526,480.7909851074219,63.79333368937174,0.8918889760971069,4.179999828338623,2.420000076293945,5.309842711661291,69.7275751775135,9.930523597124903,0,0,1,0.221865053979203,0.2290967175399629,0.5490382284808342
3200.0,21.26692614151049,16.33740641971341,501.2525770218526,480.7909851074219,63.79333368937174,0.8918889760971069,4.179999828338623,2.420000076293945,5.309842711661291,69.7275751775135,9.930523597124903,0,0,1,0.221865053979203,0.2290967175399629,0.5490382284808342
3450.0,21.38556622404758,17.12039821235959,517.4786281988515,488.2300109863281,65.59000015258789,0.9877139925956726,2.650000095367432,0.6800000071525574,4.419751541126343,77.0797378962629,7.71614003271371,0,0,1,0.3605351944833449,0.007844610672769295,0.6316201948438858
3450.0,21.29140907514152,16.27196975660309,505.2207076203883,488.2300109863281,65.59000015258789,0.9877139925956726,2.650000095367432,0.6800000071525574,4.077391902859647,64.06043964010273,7.367938717316707,0,0,1,0.4367089891286711,0.0,0.5632910108713289
3450.0,21.17586201210036,16.57688980728233,505.2207076203883,488.2300109863281,65.59000015258789,0.9877139925956726,2.650000095367432,0.6800000071525574,4.077391902859647,64.06043964010273,7.367938717316707,0,0,1,0.4367089891286711,0.0,0.5632910108713289
3425.312257951389,19.53055681632348,18.09331102875154,487.2315174747949,498.3670043945312,61.35499954223633,0.6045479774475098,1.75,0.5799999833106995,3.985807313702691,55.17253712189037,6.793182785749217,0,0,1,0.3574658917448068,0.2791093455197065,0.3634247627354868
3407.97568079861,20.16853545763305,17.41774475088756,487.2315174747949,498.3670043945312,61.35499954223633,0.6045479774475098,1.75,0.5799999833106995,3.985807313702691,55.17253712189037,6.793182785749217,0,0,1,0.3574658917448068,0.2791093455197065,0.3634247627354868
3400.0,20.54519506634055,17.46575297955182,487.2315174747949,498.3670043945312,61.35499954223633,0.6045479774475098,1.75,0.5799999833106995,3.985807313702691,55.17253712189037,6.793182785749217,0,0,1,0.3574658917448068,0.2791093455197065,0.3634247627354868
3435.483764861111,20.65792101860945,16.75621903503156,490.717394208172,486.0530090332031,62.85000038146973,0.6742039918899536,2.809999942779541,1.149999976158142,3.979345785966609,51.20361083795873,6.615905187322247,0,0,1,0.4380772947880414,0.239676688512989,0.3222460166989696
3446.350444062501,20.57091035639913,18.51158233883947,490.717394208172,486.0530090332031,62.85000038146973,0.6742039918899536,2.809999942779541,1.149999976158142,3.979345785966609,51.20361083795873,6.615905187322247,0,0,1,0.4380772947880414,0.239676688512989,0.3222460166989696
3424.882456909722,21.07586226447678,19.13723570470304,500.1715866431712,486.0530090332031,62.85000038146973,0.6742039918899536,2.809999942779541,1.149999976158142,4.071298927919379,48.44875529021304,6.483950777164711,0,0,1,0.5707601572090444,0.1757192214786362,0.2535206213123193
3425.0,21.34841054119295,18.08889559942888,500.1715866431712,492.66901284352366,59.1400006612142,0.6827499866485596,3.200000047683716,2.170000076293945,4.071298927919379,48.44875529021304,6.483950777164711,0,0,1,0.5707601572090444,0.1757192214786362,0.2535206213123193
3425.117558425357,21.1667046744876,16.8886105887314,500.1715866431712,492.66901284352366,59.1400006612142,0.6827499866485596,3.200000047683716,2.170000076293945,4.071298927919379,48.44875529021304,6.483950777164711,0,0,1,0.5707601572090444,0.1757192214786362,0.2535206213123193
