cenario_id,linha,modo,Idade,TPC,Volume,DB_SGF,Kappa,pct_A,pct_B,pct_C,pct_D,pct_MG
QM-PART01,1,A,6.829338159442118,44.91897090931523,4538.91,492.1972726932237,15.75802822767099,0.0,0.4926248813041016,0.2243203764780531,0.0,0.2830547422178453
QM-PART01,2,A,7.943948687134172,92.09437466744244,10382.15006,496.0529518707547,16.45890660169357,0.8324911660928161,0.0002169608401903,0.0177517931194302,0.0,0.1495400799475634
QM-PART01,3,A,6.057704561043666,83.12290667844805,6903.55,502.9506627604637,17.71025463410745,0.5806114245569309,0.0,0.2348371490030492,0.0,0.18455142644002
QM-PART01,4,A,6.391173810154227,75.11362432373353,9365.89998,492.6611231640265,13.66223205310341,0.5232443470958356,0.3836709240621209,0.0170600668746411,2.240041004580533e-06,0.0760224219263977
QM-PART01,5,A,7.028283482416045,118.2379812793367,8572.88,493.2365990308974,17.14476160464574,0.4156654473175876,0.1058605742760893,0.1831426545105029,0.0,0.2953313238958203
QM-PART01,6,A,6.337120018261149,114.0323644399945,7280.97,503.5846955602527,16.71246765807807,0.3707363167270295,0.144100305316462,0.0,0.1307229668574379,0.3544404110990706
QM-PART01,7,A,5.693022217658687,34.93507673375102,10909.15,494.3198196559769,16.2016072771927,0.9154434580146024,0.0,0.0,0.0,0.0845565419853975
QM-PART01,8,A,6.213707934414389,43.47908035635892,8997.67,488.1491112143477,16.3741887230563,0.3947933187147339,0.154965674446829,0.1723179445345295,0.0,0.2779230623039076
QM-PART01,9,A,6.680162016325005,84.07820419340769,8024.5,481.8003815440214,14.70061267316704,0.4220711570814381,0.144746713190853,0.3140681662408872,0.0,0.1191139634868216
QM-PART01,10,A,7.897066916548277,67.18050210489824,7724.71942,511.8050306248664,15.39528050868761,0.3463850509666797,0.0,0.3302170164777325,0.0515815433979866,0.2718163891576013
QM-PART01,11,A,6.513701384742043,71.86121148930339,8490.390000000001,488.7764596679304,17.61727899283509,0.9929873657158268,0.007012634284173,0.0,0.0,0.0
QM-PART01,12,A,6.376460499892303,79.65371552906065,7753.27,464.2325940151703,17.50946218326529,0.8252066547405159,0.0,0.0725139199331378,0.0,0.1022794253263462
QM-PART01,13,A,6.310516777167999,49.7048759896939,8582.62,492.4736366206744,16.2183970694588,0.4388380238202321,0.0469192391134641,0.2022913748948457,0.0,0.3119513621714581
QM-PART01,14,A,6.722595024856767,81.57346851881103,8419.79,485.1744964511682,17.16151958636456,0.5233455941300198,0.3541501628900483,0.0,0.0,0.1225042429799318
QM-PART01,15,A,6.184741068134027,139.5401101823673,8637.94398,494.7240002009299,15.36988597863929,0.2935109935732646,0.4118041212395082,0.0529567824309969,0.0,0.2417281027562302
